ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3956-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
508,2576,312870,6212,312870
508,2576,313680,6212,313680
509,2578,314490,6212,314490
509,2578,314860,6212,314860
509,2578,315330,6212,315330
510,2586,315330,6212,315330
510,2586,315330,6212,315330
510,2586,315790,6212,315790
510,2586,316110,6212,316110
510,2586,316270,6212,316270
510,2586,317080,6212,317080
511,2594,317550,6212,317550
512,2602,317550,6212,317550
512,2602,317710,6212,317710
513,2610,318520,6212,318520
513,2610,318840,6212,318840
514,2612,319160,6212,319160
514,2612,319630,6212,319630
514,2612,319950,6212,319950
514,2612,320600,6212,320600
515,2620,321250,6212,321250
516,2628,321570,6212,321570
517,2636,322380,6212,322380
518,2638,323190,6212,323190
519,2646,323740,6212,323740
520,2654,324550,6212,324550
521,2662,324770,6212,324770
521,2662,325090,6212,325090
521,2662,325560,6212,325560
521,2662,326020,6212,326020
522,2664,326250,6212,326250
522,2664,327060,6212,327060
522,2664,327060,6212,327060
522,2664,327530,6212,327530
522,2664,328340,6212,328340
522,2664,329150,6212,329150
523,2672,329960,6212,329960
524,2680,330770,6212,330770
525,2682,331580,6212,331580
526,2690,332390,6212,332390
527,2692,332860,6212,332860
528,2694,332860,6212,332860
528,2694,333330,6212,333330
529,2702,333800,6212,333800
530,2710,334030,6212,334030
531,2712,334030,6212,334030
532,2714,334250,6212,334250
532,2714,334250,6212,334250
533,2722,334570,6212,334570
533,2722,334570,6212,334570
533,2722,335030,6212,335030
534,2730,335510,6212,335510
535,2738,335980,6212,335980
535,2738,336450,6212,336450
536,2740,337260,6212,337260
537,2748,338070,6212,338070
538,2756,338070,6212,338070
538,2756,338540,6212,338540
539,2758,339010,6212,339010
540,2766,339660,6212,339660
541,2774,339980,6212,339980
541,2774,340450,6212,340450
542,2782,341260,6212,341260
543,2784,341730,6212,341730
543,2784,342200,6212,342200
544,2792,342670,6212,342670
545,2794,342670,6212,342670
545,2794,342670,6212,342670
546,2796,343140,6212,343140
546,2796,343730,6212,343730
546,2796,344540,6212,344540
547,2804,345010,6212,345010
548,2812,345820,6212,345820
548,2812,346630,6212,346630
549,2820,347440,6212,347440
550,2828,347710,6212,347710
550,2828,348300,6212,348300
551,2830,349110,6212,349110
551,2830,349340,6212,349340
552,2832,349810,6212,349810
552,2832,350620,6212,350620
553,2840,351430,6212,351430
553,2840,352080,6212,352080
553,2840,352310,6212,352310
554,2842,353120,6212,353120
555,2844,353120,6212,353120
556,2852,353340,6212,353340
557,2854,354150,6212,354150
557,2854,354260,6212,354260
557,2854,355070,6212,355070
557,2854,355880,6212,355880
558,2862,356690,6212,356690
559,2864,357160,6212,357160
559,2864,357480,6212,357480
