ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
884262.19,15.38,2.69,524320.06,9.12
884138.15,15.38,2.69,524230.71,9.12
883930.16,15.38,2.69,524026.55,9.12
882914.77,15.38,2.69,523543.08,9.12
883152.8,15.39,2.7,523964.89,9.13
883152.8,15.39,2.7,523964.89,9.13
883077.08,15.39,2.7,523794.82,9.13
883077.08,15.39,2.7,523794.82,9.13
882908.09,15.39,2.7,523602.47,9.13
882910.55,15.39,2.7,523630.1,9.13
882630.1,15.39,2.69,523287.85,9.12
882630.1,15.39,2.69,523287.85,9.12
882625.36,15.39,2.7,523401.56,9.13
882645.14,15.39,2.7,523396.82,9.13
882451.63,15.39,2.7,523302.02,9.13
882282.64,15.39,2.7,523194.83,9.13
882089.13,15.39,2.7,523037.82,9.13
882089.13,15.39,2.7,523037.82,9.13
882248.14,15.39,2.7,523010.87,9.13
882248.14,15.39,2.7,523010.87,9.13
882054.63,15.39,2.7,523096.02,9.13
882324.16,15.4,2.71,523120.33,9.13
882130.65,15.4,2.71,523203.09,9.13
881961.66,15.4,2.71,523008.41,9.13
881956.92,15.4,2.71,523124.44,9.14
881787.93,15.4,2.71,523017.26,9.13
881136.97,15.4,2.71,522603.06,9.13
880943.46,15.4,2.71,522446.05,9.13
880943.46,15.4,2.71,522446.05,9.13
879928.07,15.4,2.71,521962.58,9.14
879759.08,15.4,2.71,521764.97,9.14
879108.12,15.4,2.71,521350.78,9.13
878729.59,15.4,2.7,521039.52,9.13
878536.09,15.4,2.7,520972.94,9.13
878367.09,15.4,2.7,520849.54,9.13
878173.59,15.4,2.7,520708.74,9.13
877977.98,15.39,2.7,520513.14,9.13
877808.99,15.39,2.7,520320.78,9.12
877615.48,15.39,2.7,520248.94,9.12
877635.25,15.39,2.7,520063.99,9.12
877441.75,15.39,2.7,520170.3,9.13
877272.75,15.39,2.7,520063.11,9.13
877079.25,15.39,2.7,519906.1,9.12
876910.25,15.39,2.7,519708.5,9.12
876716.75,15.39,2.7,519641.91,9.12
876508.75,15.39,2.7,519437.38,9.12
876528.52,15.39,2.7,519432.64,9.12
876523.78,15.39,2.7,519502.49,9.12
876543.56,15.4,2.7,519497.75,9.12
875892.59,15.4,2.7,519083.56,9.12
875699.09,15.39,2.7,519009.82,9.12
