ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
122,542,488600,6212,488600
122,542,488920,6212,488920
122,542,489730,6212,489730
122,542,490540,6212,490540
122,542,491010,6212,491010
123,544,492010,6212,492010
123,544,493010,6212,493010
124,552,493660,6212,493660
124,552,493980,6212,493980
124,552,494450,6212,494450
124,552,495260,6212,495260
124,552,495580,6212,495580
124,552,496040,6212,496040
124,552,497040,6212,497040
124,552,498040,6212,498040
124,552,498850,6212,498850
124,552,499850,6212,499850
124,552,500850,6212,500850
124,552,500850,6212,500850
124,552,501850,6212,501850
124,552,502850,6212,502850
124,552,503850,6212,503850
124,552,504320,6212,504320
125,560,504970,6212,504970
125,560,505780,6212,505780
125,560,506780,6212,506780
125,560,507590,6212,507590
125,560,508590,6212,508590
125,560,509400,6212,509400
125,560,510400,6212,510400
125,560,510400,6212,510400
125,560,510950,6212,510950
126,568,511540,6212,511540
126,568,512540,6212,512540
126,568,513130,6212,513130
126,568,513600,6212,513600
126,568,513830,6212,513830
126,568,514150,6212,514150
126,568,514470,6212,514470
126,568,515280,6212,515280
126,568,515280,6212,515280
126,568,515280,6212,515280
126,568,515830,6212,515830
126,568,516300,6212,516300
126,568,517110,6212,517110
126,568,518110,6212,518110
127,576,519110,6212,519110
127,576,519110,6212,519110
127,576,519760,6212,519760
127,576,519760,6212,519760
127,576,520760,6212,520760
127,576,520760,6212,520760
128,578,521570,6212,521570
