ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
287,654,584760,6212,584760
288,656,585570,6212,585570
288,656,585890,6212,585890
288,656,586700,6212,586700
289,658,587350,6212,587350
289,658,588350,6212,588350
290,660,589350,6212,589350
290,660,590350,6212,590350
290,660,591350,6212,591350
291,662,592350,6212,592350
291,662,592350,6212,592350
292,664,593350,6212,593350
292,664,594160,6212,594160
293,666,594970,6212,594970
293,666,594970,6212,594970
293,666,594970,6212,594970
293,666,595970,6212,595970
293,666,596780,6212,596780
294,668,597780,6212,597780
294,668,598780,6212,598780
295,670,599250,6212,599250
296,672,600250,6212,600250
296,672,601250,6212,601250
296,672,601250,6212,601250
296,672,601720,6212,601720
296,672,602530,6212,602530
296,672,602760,6212,602760
296,672,602760,6212,602760
297,674,603570,6212,603570
297,674,604380,6212,604380
298,676,605380,6212,605380
298,676,606380,6212,606380
299,678,607380,6212,607380
299,678,608380,6212,608380
300,680,608840,6212,608840
301,682,609840,6212,609840
302,690,609840,6212,609840
303,698,617840,6212,617840
303,698,618300,6212,618300
303,698,618760,6212,618760
303,698,619230,6212,619230
303,698,619460,6212,619460
303,698,619460,6212,619460
303,698,619460,6212,619460
304,700,619830,6212,619830
304,700,620830,6212,620830
304,700,621480,6212,621480
305,702,622480,6212,622480
305,702,623480,6212,623480
306,704,624480,6212,624480
306,704,624950,6212,624950
306,704,625950,6212,625950
307,706,626420,6212,626420
308,708,627420,6212,627420
308,708,628230,6212,628230
308,708,628550,6212,628550
309,710,629550,6212,629550
309,710,630550,6212,630550
309,710,630550,6212,630550
310,712,631200,6212,631200
311,714,632200,6212,632200
311,714,632670,6212,632670
311,714,633670,6212,633670
311,714,634670,6212,634670
312,716,635670,6212,635670
312,716,636670,6212,636670
313,718,637670,6212,637670
313,718,638480,6212,638480
313,718,639480,6212,639480
314,720,640290,6212,640290
315,722,641290,6212,641290
315,722,642100,6212,642100
315,722,642100,6212,642100
315,722,643100,6212,643100
316,724,644100,6212,644100
317,726,644570,6212,644570
317,726,645040,6212,645040
317,726,646040,6212,646040
317,726,646360,6212,646360
317,726,647170,6212,647170
317,726,647170,6212,647170
318,728,647980,6212,647980
319,730,648980,6212,648980
319,730,649980,6212,649980
320,732,650980,6212,650980
321,740,650980,6212,650980
321,740,651570,6212,651570
322,742,652380,6212,652380
322,742,652850,6212,652850
323,744,653320,6212,653320
323,744,653320,6212,653320
323,744,653790,6212,653790
323,744,654790,6212,654790
324,746,655790,6212,655790
324,746,656790,6212,656790
324,746,657600,6212,657600
325,748,658070,6212,658070
325,748,658070,6212,658070
325,748,658620,6212,658620
325,748,659090,6212,659090
326,750,660090,6212,660090
326,750,660410,6212,660410
326,750,661410,6212,661410
327,752,662410,6212,662410
327,752,663410,6212,663410
328,754,664220,6212,664220
329,756,665220,6212,665220
329,756,666220,6212,666220
329,756,666220,6212,666220
329,756,666540,6212,666540
330,758,667540,6212,667540
330,758,668130,6212,668130
331,760,669130,6212,669130
331,760,670130,6212,670130
331,760,670450,6212,670450
332,762,671450,6212,671450
332,762,672450,6212,672450
333,764,672920,6212,672920
334,766,673920,6212,673920
334,766,673920,6212,673920
334,766,674730,6212,674730
334,766,675200,6212,675200
335,774,675200,6212,675200
335,774,676200,6212,676200
336,776,676670,6212,676670
