ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
276,644,565900,6212,565900
276,644,566220,6212,566220
277,646,566540,6212,566540
277,646,567130,6212,567130
278,648,568130,6212,568130
278,648,568780,6212,568780
279,650,569780,6212,569780
279,650,569780,6212,569780
280,652,570430,6212,570430
280,652,571430,6212,571430
280,652,572240,6212,572240
280,652,572240,6212,572240
280,652,572350,6212,572350
280,652,572350,6212,572350
281,654,572820,6212,572820
281,654,573140,6212,573140
281,654,573140,6212,573140
281,654,574140,6212,574140
281,654,574140,6212,574140
282,656,574790,6212,574790
282,656,575600,6212,575600
282,656,576600,6212,576600
282,656,577070,6212,577070
282,656,577070,6212,577070
283,658,577540,6212,577540
283,658,578540,6212,578540
284,660,580540,6212,580540
285,662,581540,6212,581540
285,662,581860,6212,581860
285,662,582860,6212,582860
285,662,583090,6212,583090
286,664,583740,6212,583740
286,664,583740,6212,583740
286,664,584740,6212,584740
287,666,585740,6212,585740
287,666,585960,6212,585960
287,666,585960,6212,585960
287,666,586960,6212,586960
288,668,587960,6212,587960
288,668,588960,6212,588960
289,670,589960,6212,589960
290,672,590960,6212,590960
291,680,590960,6212,590960
291,680,590960,6212,590960
292,682,591960,6212,591960
292,682,592960,6212,592960
292,682,593280,6212,593280
292,682,593280,6212,593280
292,682,593740,6212,593740
293,684,594740,6212,594740
293,684,595740,6212,595740
293,684,596550,6212,596550
294,686,597550,6212,597550
294,686,598550,6212,598550
294,686,599550,6212,599550
295,688,600550,6212,600550
296,690,601550,6212,601550
296,690,602550,6212,602550
296,690,603360,6212,603360
296,690,603360,6212,603360
297,692,603680,6212,603680
297,692,604680,6212,604680
297,692,604680,6212,604680
298,694,605680,6212,605680
298,694,606680,6212,606680
299,696,607680,6212,607680
299,696,608680,6212,608680
300,698,609680,6212,609680
300,698,610680,6212,610680
301,700,611680,6212,611680
301,700,612150,6212,612150
301,700,612610,6212,612610
302,702,613610,6212,613610
302,702,614420,6212,614420
302,702,614420,6212,614420
302,702,614420,6212,614420
303,704,615420,6212,615420
303,704,616420,6212,616420
304,706,617420,6212,617420
304,706,618420,6212,618420
305,708,619230,6212,619230
305,708,619700,6212,619700
305,708,620700,6212,620700
306,710,621510,6212,621510
306,710,622510,6212,622510
307,712,623510,6212,623510
308,714,625510,6212,625510
308,714,625980,6212,625980
309,716,626980,6212,626980
310,718,627980,6212,627980
310,718,627980,6212,627980
311,720,628630,6212,628630
312,722,629630,6212,629630
312,722,630630,6212,630630
312,722,631630,6212,631630
312,722,631630,6212,631630
312,722,632440,6212,632440
313,724,633440,6212,633440
313,724,634250,6212,634250
313,724,634570,6212,634570
314,726,635570,6212,635570
314,726,636570,6212,636570
315,728,637570,6212,637570
315,728,638570,6212,638570
315,728,639380,6212,639380
316,736,639380,6212,639380
317,738,640380,6212,640380
317,738,640970,6212,640970
318,740,641970,6212,641970
318,740,642970,6212,642970
319,742,643200,6212,643200
320,744,645200,6212,645200
320,744,645670,6212,645670
321,746,646670,6212,646670
322,748,647670,6212,647670
323,752,651670,6212,651670
324,754,652670,6212,652670
325,756,653670,6212,653670
325,756,654260,6212,654260
325,756,655070,6212,655070
325,756,656070,6212,656070
325,756,656070,6212,656070
326,758,656540,6212,656540
326,758,656540,6212,656540
326,758,657540,6212,657540
326,758,658540,6212,658540
326,758,659350,6212,659350
327,760,660000,6212,660000
327,760,660810,6212,660810
327,760,660810,6212,660810
328,762,661620,6212,661620
328,762,662620,6212,662620
329,770,670620,6212,670620
330,772,671620,6212,671620
330,772,672620,6212,672620
331,774,673620,6212,673620
331,774,674270,6212,674270
332,776,675270,6212,675270
332,776,675270,6212,675270
332,776,676270,6212,676270
332,776,676590,6212,676590
333,778,677400,6212,677400
333,778,678210,6212,678210
334,780,679210,6212,679210
335,788,679210,6212,679210
335,788,680210,6212,680210
335,788,680680,6212,680680
336,790,681680,6212,681680
336,790,682680,6212,682680
336,790,682680,6212,682680
337,792,683680,6212,683680
338,794,684680,6212,684680
338,794,685150,6212,685150
339,796,686150,6212,686150
339,796,686620,6212,686620
339,796,687620,6212,687620
339,796,687620,6212,687620
340,798,688620,6212,688620
340,798,688620,6212,688620
340,798,689090,6212,689090
340,798,689560,6212,689560
341,800,690560,6212,690560
341,800,691560,6212,691560
341,800,692370,6212,692370
341,800,692600,6212,692600
342,802,693410,6212,693410
342,802,694410,6212,694410
343,804,695220,6212,695220
343,804,695870,6212,695870
344,806,696680,6212,696680
344,806,697490,6212,697490
345,808,697960,6212,697960
345,808,698960,6212,698960
346,810,699960,6212,699960
346,810,700960,6212,700960
347,812,701960,6212,701960
347,812,702960,6212,702960
348,814,703770,6212,703770
348,814,703770,6212,703770
