ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1579887.24,26.69,1.14,239611.33,4.05
1579153.47,26.69,1.13,238866.79,4.04
1579135.31,26.69,1.14,239453.05,4.05
1579253.85,26.69,1.14,239441.59,4.05
1579047.66,26.7,1.14,239439.57,4.05
1578841.46,26.7,1.14,239365.36,4.05
1578576.9,26.7,1.14,239337.66,4.05
1578312.34,26.7,1.14,239378.83,4.05
1578455.27,26.7,1.15,239165.6,4.05
1578190.72,26.7,1.15,239136.21,4.05
1577441.72,26.7,1.14,238421.43,4.03
1577180.65,26.7,1.14,238400.55,4.04
1577408.17,26.7,1.15,239078.68,4.05
1577161.3,26.7,1.15,239602.07,4.06
1577161.3,26.7,1.15,239602.07,4.06
1576965.17,26.7,1.15,239387.55,4.05
1576965.17,26.7,1.15,239387.55,4.05
1576758.97,26.7,1.15,239316.54,4.05
1576552.77,26.71,1.15,239311.31,4.05
1576552.77,26.71,1.15,239311.31,4.05
1576346.58,26.71,1.15,239258.36,4.05
1576141.62,26.7,1.15,239133.35,4.05
1575787.46,26.7,1.14,238808.99,4.05
1575581.26,26.7,1.14,238785.7,4.05
1575581.26,26.7,1.14,238785.7,4.05
1575581.26,26.7,1.14,238785.7,4.05
1575217.54,26.7,1.14,238424.85,4.04
1575011.35,26.7,1.14,238353.79,4.04
1574993.19,26.7,1.14,238450.18,4.04
1574993.19,26.7,1.14,238450.18,4.04
1574786.99,26.71,1.14,238445.0,4.04
1574570.65,26.7,1.14,238282.6,4.04
1574364.45,26.7,1.14,238211.74,4.04
1574346.29,26.71,1.14,238362.15,4.04
1574091.29,26.71,1.14,238393.53,4.04
1574575.68,26.72,1.15,238396.3,4.05
1574172.18,26.71,1.15,238133.88,4.04
1574102.65,26.72,1.15,237695.49,4.03
1574106.12,26.72,1.16,237745.87,4.04
1573899.92,26.72,1.16,237740.49,4.04
1573700.71,26.72,1.15,237492.69,4.03
1573561.39,26.72,1.16,236880.14,4.02
1573671.53,26.73,1.16,236631.8,4.02
1573465.33,26.73,1.16,236629.77,4.02
1573259.13,26.73,1.16,236555.56,4.02
1573486.65,26.74,1.17,236619.29,4.02
1573985.45,26.75,1.18,236771.98,4.02
1573779.26,26.75,1.18,236700.91,4.02
1573573.06,26.75,1.18,236695.74,4.02
1573366.86,26.75,1.18,236693.72,4.02
1573160.66,26.75,1.18,236619.51,4.02
1572865.92,26.75,1.17,236337.46,4.02
1572659.73,26.75,1.18,236335.29,4.02
1572641.57,26.75,1.18,236676.51,4.03
1572223.65,26.75,1.17,236267.93,4.02
1572017.45,26.75,1.17,236193.86,4.02
1571301.25,26.74,1.17,235514.2,4.01
1571095.05,26.74,1.17,235512.17,4.01
1571076.89,26.75,1.17,235608.56,4.01
1571058.73,26.75,1.17,235758.97,4.01
1570852.53,26.75,1.17,235684.76,4.01
